,file,path,chain_id,n_residues,n_atoms
45,4frn_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/4frn_B/4frn_A.cif,A,102,2182
46,8sa6_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa6_B.cif,B,152,3259
47,8sa4_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa4_A.cif,A,189,4069
48,8sa6_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa6_A.cif,A,210,4525
49,8sa4_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa4_B.cif,B,47,1015
50,8sa2_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa2_A.cif,A,210,4525
51,8sa2_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa2_B.cif,B,210,4525
52,8sa5_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa5_B.cif,B,135,2906
53,8sa5_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa5_A.cif,A,210,4525
54,4gma_Z.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/4gma_Z.cif,Z,192,4140
55,8sa3_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa3_B.cif,B,210,4525
56,8sa3_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8sa3_A.cif,A,210,4525
57,8fw4_Z.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/8sa3_B/8fw4_Z.cif,Z,185,5994
58,3rw6_F.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/3rw6_F/3rw6_F.cif,F,62,1340
59,3rw6_H.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/3rw6_F/3rw6_H.cif,H,62,1340
60,6vmy_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/6vmy_A/6vmy_A.cif,A,148,3183
61,4frg_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/4frg_B/4frg_B.cif,B,84,1800
62,4frg_X.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_17/4frg_B/4frg_X.cif,X,84,1800
63,5btp_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/5btp_A.cif,A,62,1324
64,5btp_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/5btp_B.cif,B,62,1329
65,6od9_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/6od9_A.cif,A,62,1327
66,6od9_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/6od9_B.cif,B,62,1324
67,6wzr_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/6wzr_B.cif,B,57,1217
68,6wzr_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/6wzr_A.cif,A,64,1366
69,6wzs_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/6wzs_A.cif,A,62,1324
70,6wzs_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/6wzs_B/6wzs_B.cif,B,60,1285
71,4xw7_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/4xw7_A/4xw7_A.cif,A,64,1379
72,4xwf_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/4xw7_A/4xwf_A.cif,A,64,1379
73,4znp_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/4znp_B/4znp_A.cif,A,73,1574
74,4znp_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_28/4znp_B/4znp_B.cif,B,66,1420
75,3owi_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3owi_A.cif,A,88,1906
76,3owi_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3owi_B.cif,B,88,1901
77,3oww_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oww_A.cif,A,88,1906
78,3oww_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oww_B.cif,B,87,1879
79,3oxe_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oxe_B.cif,B,88,1901
80,3oxe_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oxe_A.cif,A,88,1906
81,3ox0_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3ox0_A.cif,A,88,1906
82,3oxm_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oxm_B.cif,B,88,1901
83,3ox0_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3ox0_B.cif,B,88,1901
84,3oxm_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oxm_A.cif,A,88,1906
85,3oxj_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oxj_A.cif,A,88,1906
86,3oxj_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3oxj_B.cif,B,87,1884
87,3owz_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3owz_A.cif,A,88,1906
88,3owz_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxe_A/3owz_B.cif,B,83,1797
89,8ewb_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8ewb_EC/8ewb_EC.cif,EC,153,3261
90,6wlm_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/6wlm_A/6wlm_A.cif,A,171,5512
91,3oxb_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxb_A/3oxb_A.cif,A,88,1906
92,3oxb_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxb_A/3oxb_B.cif,B,87,1879
93,6wlt_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/6wlu_A/6wlt_A.cif,A,231,7437
94,6wlu_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/6wlu_A/6wlu_A.cif,A,231,7437
95,3p49_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3p49_A/3p49_A.cif,A,169,3624
96,8evp_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8evp_EC.cif,EC,192,4090
97,8eub_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8eub_EC.cif,EC,195,4128
98,5jus_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/5jus_EC.cif,EC,198,4129
99,8evr_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8evr_EC.cif,EC,191,4045
100,5juo_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/5juo_EC.cif,EC,198,4105
101,3j6x_IR.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/3j6x_IR.cif,IR,198,198
102,8evt_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8evt_EC.cif,EC,57,1209
103,5juu_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/5juu_EC.cif,EC,198,3968
104,5jup_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/5jup_EC.cif,EC,198,4105
105,8evq_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8evq_EC.cif,EC,200,4235
106,8evs_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8evs_EC.cif,EC,195,4128
107,3j6y_IR.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/3j6y_IR.cif,IR,198,198
108,5jut_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/5jut_EC.cif,EC,198,4105
109,8ewc_EC.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/8evr_EC/8ewc_EC.cif,EC,192,4090
110,3oxd_A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxd_A/3oxd_A.cif,A,88,1906
111,3oxd_B.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_10/3oxd_A/3oxd_B.cif,B,87,1879
112,6zqb_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6zqb_D4/6zqb_D4.cif,D4,175,3712
113,6zqa_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6zqb_D4/6zqa_D4.cif,D4,175,3712
114,7mq8_L2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7mq8_L2/7mq8_L2.cif,L2,215,4589
115,7mq9_L2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7mq8_L2/7mq9_L2.cif,L2,215,4589
116,7mqa_L2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7mq8_L2/7mqa_L2.cif,L2,177,3779
117,6rxu_C2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6rxx_C2/6rxu_C2.cif,C2,230,4891
118,6rxy_C2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6rxx_C2/6rxy_C2.cif,C2,230,4891
119,6rxt_C2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6rxx_C2/6rxt_C2.cif,C2,230,4891
120,6rxx_C2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6rxx_C2/6rxx_C2.cif,C2,229,4869
121,6rxz_C2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6rxx_C2/6rxz_C2.cif,C2,230,4891
122,6rxv_C2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6rxx_C2/6rxv_C2.cif,C2,230,4891
123,7ajt_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/7ajt_D4.cif,D4,230,4869
124,6lqu_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqu_3A.cif,3A,175,3711
125,6zqd_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6zqd_D4.cif,D4,223,4723
126,6lqq_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqq_3A.cif,3A,175,3711
127,7d5t_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/7d5t_3A.cif,3A,167,3534
128,7suk_L2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/7suk_L2.cif,L2,169,3585
129,5wyk_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/5wyk_3A.cif,3A,157,3327
130,6lqs_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqs_3A.cif,3A,234,4962
131,6zqc_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6zqc_D4.cif,D4,230,4872
132,6lqv_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqv_3A.cif,3A,175,3711
133,6ke6_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6ke6_3A.cif,3A,175,3711
134,7aju_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/7aju_D4.cif,D4,223,4720
135,7d5s_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/7d5s_3A.cif,3A,175,3711
136,7d4i_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/7d4i_3A.cif,3A,216,4570
137,5wlc_L2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/5wlc_L2.cif,L2,169,3585
138,6lqt_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqt_3A.cif,3A,194,4114
139,6lqp_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqp_3A.cif,3A,175,3711
140,6zqe_D4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6zqe_D4.cif,D4,223,4723
141,6lqr_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/6lqr_3A.cif,3A,175,3711
142,5wyj_3A.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/7d5s_3A/5wyj_3A.cif,3A,157,3327
143,6nd4_2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/6nd4_2/6nd4_2.cif,2,146,3106
144,5tzs_2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/5tzs_2/5tzs_2.cif,2,126,2468
145,5jpq_3.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/5jpq_3/5jpq_3.cif,3,164,3504
146,5oql_2.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_11/5jpq_3/5oql_2.cif,2,230,4891
147,4wzj_YYYY.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_YYYY.cif,YYYY,68,1453
148,4wzj_YYY.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_YYY.cif,YYY,68,1453
149,4wzj_VVVV.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_VVVV.cif,VVVV,68,1453
150,4wzj_V.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_V.cif,V,68,1453
151,4wzj_XXX.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_XXX.cif,XXX,68,1453
152,4wzj_VV.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_VV.cif,VV,68,1453
153,4wzj_YY.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_YY.cif,YY,68,1453
154,4wzj_Y.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_Y.cif,Y,68,1453
155,4wzj_X.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_X.cif,X,68,1453
156,4wzj_VVV.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_VVV.cif,VVV,68,1453
157,4wzj_XX.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_XX.cif,XX,68,1453
158,4wzj_XXXX.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/4wzj_X/4wzj_XXXX.cif,XXXX,68,1453
159,6ah0_I.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6ah0_I/6ah0_I.cif,I,117,2491
160,6ahd_I.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6ah0_I/6ahd_I.cif,I,136,2881
161,8qo9_4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6ah0_I/8qo9_4.cif,4,127,2692
162,5gan_V.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/5gan_V.cif,V,124,2635
163,5gap_V.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/5gap_V.cif,V,67,1426
164,5gao_V.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/5gao_V.cif,V,57,1209
165,5zwo_I.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/5zwo_I.cif,I,110,2334
166,5zwm_I.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/5zwm_I.cif,I,110,2334
167,3jcm_E.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/3jcm_E.cif,E,85,1806
168,5nrl_4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/5zwo_I/5nrl_4.cif,4,114,2423
169,3jcr_M.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/3jcr_M/3jcr_M.cif,M,103,103
170,8y6o_J.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/8y6o_J/8y6o_J.cif,J,109,2320
171,3siv_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/8y6o_J/3siv_C.cif,C,32,685
172,3siv_F.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/8y6o_J/3siv_F.cif,F,32,685
173,3siv_I.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/8y6o_J/3siv_I.cif,I,32,685
174,3siv_L.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/8y6o_J/3siv_L.cif,L,32,685
175,2ozb_F.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6qw6_4/2ozb_F.cif,F,33,703
176,2ozb_C.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6qw6_4/2ozb_C.cif,C,33,703
177,8q7n_4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6qw6_4/8q7n_4.cif,4,76,1610
178,6qx9_4.cif,/Users/eshitagupta/Study/rna_project/cif/rna3db-mmcifs/train_set/component_16/6qw6_4/6qx9_4.cif,4,126,2690
